date,Value_pm
31/01/2018,28.45
28/02/2018,51.04
31/03/2018,72.98
30/04/2018,48.53
31/05/2018,19.74
30/06/2018,17.04
31/07/2018,15.28
31/08/2018,15.64
30/09/2018,12.98
31/10/2018,22.74
30/11/2018,21.43
31/12/2018,21.94
31/01/2019,26.87
28/02/2019,45.86
31/03/2019,89.35
30/04/2019,72.27
31/05/2019,35.97
30/06/2019,13.33
31/07/2019,12.66
31/08/2019,12.53
30/09/2019,17.22
31/10/2019,17.19
30/11/2019,24.37
31/12/2019,34.68
31/01/2020,42.75
29/02/2020,55.09
31/03/2020,85.86
30/04/2020,63.02
31/05/2020,22.71
30/06/2020,10.42
31/07/2020,10.38
31/08/2020,12.27
30/09/2020,12.77
31/10/2020,12.03
30/11/2020,19.91
31/12/2020,25.95
31/01/2021,42.80
28/02/2021,43.13
31/03/2021,77.77
30/04/2021,35.76
31/05/2021,18.16
30/06/2021,13.35
31/07/2021,10.61
31/08/2021,12.13
30/09/2021,10.49
31/10/2021,12.15
30/11/2021,16.82
31/12/2021,26.00
31/01/2022,21.40
28/02/2022,26.66
31/03/2022,39.61
30/04/2022,39.95
31/05/2022,17.53
30/06/2022,12.18
31/07/2022,10.19
31/08/2022,10.18
30/09/2022,11.67
31/10/2022,17.35
30/11/2022,20.54
31/12/2022,28.14
