year,month,day,Average of Value_pm,
2018,Jan,01,31.63,
,Feb,01,50.87,
,Mar,01,49.06,
,Apr,01,44.04,
,May,01,21.33,
,Jun,01,17.10,
,Jul,01,18.55,
,Aug,01,19.77,
,Sep,01,21.93,
,Oct,01,22.44,
,Nov,01,22.71,
,Dec,01,24.80,
2019,Jan,01,34.22,
,Feb,01,48.46,
,Mar,01,51.02,
,Apr,01,30.47,
,May,01,21.66,
,Jun,01,11.97,
,Jul,01,12.76,
,Aug,01,11.42,
,Sep,01,18.89,
,Oct,01,19.90,
,Nov,01,25.59,
,Dec,01,36.73,
2020,Jan,01,44.26,
,Feb,01,45.74,
,Mar,01,47.59,
,Apr,01,36.17,
,May,01,23.48,
,Jun,01,10.62,
,Jul,01,11.03,
,Aug,01,10.69,
,Sep,01,11.38,
,Oct,01,14.77,
,Nov,01,23.09,
,Dec,01,28.22,
2021,Jan,01,43.31,
,Feb,01,47.44,
,Mar,01,52.39,
,Apr,01,21.70,
,May,01,14.88,
,Jun,01,12.18,
,Jul,01,9.71,
,Aug,01,11.36,
,Sep,01,8.48,
,Oct,01,11.83,
,Nov,01,16.52,
2021,Dec,01,26.81,
,Jan,01,31.05,
,Feb,01,29.89,
,Mar,01,36.40,
,Apr,01,37.86,
,May,01,14.42,
,Jun,01,11.85,
,Jul,01,10.15,
,Aug,01,9.07,
,Sep,01,11.24,
,Oct,01,20.27,
,Nov,01,19.06,
,Dec,01,25.46,
